품목명,평균가격,최고가격,최저가격,등급,일자
사과 후지_5,16048.0,17000.0,15000.0,중,200406
사과 후지_10,10954.0,13000.0,6000.0,하,200406
사과 후지_15,13969.925925925925,21037.037037037036,6888.888888888889,하,200406
사과 후지_5,15000.0,15000.0,15000.0,하,200406
사과 아오리_10,32325.0,34900.0,29750.0,특,200407
사과 아오리_15,61900.0,71800.0,52000.0,특,200407
사과 후지_10,34708.0,39000.0,33000.0,특,200407
사과 후지_15,78678.57142857143,88107.14285714286,69250.0,특,200407
사과 후지_5,18726.0,20000.0,17000.0,특,200407
사과 아오리_10,24550.0,28650.0,20450.0,상,200407
사과 아오리_15,40400.0,49600.0,31200.0,상,200407
사과 후지_10,25635.0,33000.0,24000.0,상,200407
사과 후지_15,50413.67857142857,61071.42857142857,39678.57142857143,상,200407
사과 후지_5,17000.0,17000.0,17000.0,상,200407
사과 아오리_10,16125.0,19650.0,12600.0,중,200407
사과 아오리_15,24133.333333333332,30200.0,18066.666666666668,중,200407
사과 후지_10,17375.0,24000.0,12000.0,중,200407
사과 후지_15,29530.75,37714.28571428572,21392.85714285714,중,200407
사과 후지_5,16048.0,17000.0,15000.0,중,200407
사과 아오리_10,8800.0,12100.0,5500.0,하,200407
사과 아오리_15,11800.0,17066.666666666668,6533.333333333333,하,200407
사과 후지_10,9978.0,12000.0,5000.0,하,200407
사과 후지_15,12917.42857142857,19107.14285714286,6714.285714285715,하,200407
사과 후지_5,15000.0,15000.0,15000.0,하,200407
사과 아오리_10,30166.666666666668,34400.0,25933.333333333332,특,200408
사과 아오리_15,56631.57894736842,69947.36842105263,43315.78947368421,특,200408
사과 홍로_10,45000.0,50000.0,40000.0,특,200408
사과 홍로_15,86454.54545454546,105636.36363636363,67272.72727272728,특,200408
사과 홍로_5,27500.0,29500.0,25500.0,특,200408
사과 후지_10,28981.0,32000.0,27000.0,특,200408
사과 후지_15,72050.0,81550.0,62550.0,특,200408
사과 후지_5,18726.0,20000.0,17000.0,특,200408
사과 아오리_10,20281.25,24500.0,16062.5,상,200408
사과 아오리_15,32052.63157894737,42000.0,22105.263157894737,상,200408
사과 홍로_10,28500.0,35000.0,22000.0,상,200408
사과 홍로_15,47227.27272727273,62818.181818181816,31636.363636363636,상,200408
사과 홍로_5,19500.0,24500.0,14500.0,상,200408
사과 후지_10,23573.0,27000.0,20000.0,상,200408
사과 후지_15,41554.15,54000.0,29000.0,상,200408
사과 후지_5,17000.0,17000.0,17000.0,상,200408
쓰가루_15,23250.0,26500.0,20000.0,상,200408
사과 아오리_10,12718.75,15187.5,10250.0,중,200408
사과 아오리_15,17289.473684210527,22105.263157894737,12473.684210526315,중,200408
사과 홍로_10,16500.0,20000.0,13000.0,중,200408
사과 홍로_15,23681.81818181818,30636.363636363636,16727.272727272728,중,200408
사과 홍로_5,11500.0,14500.0,8500.0,중,200408
사과 후지_10,16662.0,20000.0,13000.0,중,200408
사과 후지_15,19843.05,27100.0,12650.0,중,200408
사과 후지_5,16048.0,17000.0,15000.0,중,200408
쓰가루_15,15500.0,19000.0,12000.0,중,200408
사과 아오리_10,7750.0,9562.5,5937.5,하,200408
사과 아오리_15,8000.0,12473.684210526315,3526.315789473684,하,200408
사과 홍로_10,10000.0,12000.0,8000.0,하,200408
사과 홍로_15,11227.272727272728,16272.727272727272,6181.818181818182,하,200408
사과 홍로_5,6000.0,8500.0,3500.0,하,200408
사과 후지_10,10174.0,13000.0,4000.0,하,200408
사과 후지_15,8309.4,10750.0,5850.0,하,200408
사과 후지_5,15000.0,15000.0,15000.0,하,200408
쓰가루_15,10000.0,12000.0,8000.0,하,200408
사과 아오리_15,38357.142857142855,42214.28571428572,34500.0,특,200409
사과 양광_10,54500.0,59000.0,50000.0,특,200409
사과 양광_15,67714.28571428571,76000.0,59428.57142857143,특,200409
사과 양광_5,44200.0,48200.0,40200.0,특,200409
사과 홍로_10,32611.11111111111,36000.0,29222.222222222223,특,200409
사과 홍로_15,63619.04761904762,76428.57142857143,50809.52380952381,특,200409
사과 홍로_5,34904.76190476191,39761.90476190476,30047.619047619046,특,200409
사과 홍옥_15,50625.0,53000.0,48250.0,특,200409
사과 홍월_15,47973.68421052631,54473.68421052631,41473.68421052631,특,200409
사과 후지_10,29204.0,31000.0,28000.0,특,200409
사과 후지_15,72318.18181818182,81863.63636363637,62772.72727272727,특,200409
사과 후지_5,18726.0,20000.0,17000.0,특,200409
사과 아오리_10,34966.666666666664,39933.333333333336,30000.0,상,200409
사과 아오리_15,30156.25,35500.0,24812.5,상,200409
사과 양광_10,39000.0,50000.0,28000.0,상,200409
사과 양광_15,46571.42857142857,55142.857142857145,38000.0,상,200409
사과 양광_5,33500.0,40200.0,26800.0,상,200409
사과 홍로_10,24527.777777777777,29111.11111111111,19944.444444444445,상,200409
사과 홍로_15,41619.04761904762,50190.47619047619,33047.619047619046,상,200409
사과 홍로_5,23380.95238095238,28857.14285714286,17904.761904761905,상,200409
사과 홍옥_15,40777.77777777778,47888.88888888889,33666.666666666664,상,200409
사과 홍월_15,34763.15789473684,41421.05263157895,28105.263157894737,상,200409
사과 홍월_5,17538.46153846154,21076.923076923078,14000.0,상,200409
사과 후지_10,22392.0,28000.0,18000.0,상,200409
사과 후지_15,41503.77272727273,53818.181818181816,29090.909090909092,상,200409
사과 후지_5,17000.0,17000.0,17000.0,상,200409
사과 아오리_10,25466.666666666668,30000.0,20933.333333333332,중,200409
사과 아오리_15,19937.5,24187.5,15687.5,중,200409
사과 양광_10,22750.0,28000.0,17500.0,중,200409
사과 양광_15,29714.285714285714,37428.57142857143,22000.0,중,200409
