품목명,등급,월,평균가격,최고가격,최저가격,계절지수
사과 양광_15,상,11,34130.283921568625,36818.34967320262,31903.676470588234,0.07652311881253435
사과 양광_15,중,09,30061.422943722944,35668.68686868687,23766.233766233767,0.08671870951120902
사과 양광_15,중,10,32922.58808250154,37519.39882055267,27635.113860498477,0.09497236234054549
사과 양광_15,중,11,28129.39277777778,32155.06535947712,23573.692810457516,0.08114534849496093
사과 양광_15,특,09,51801.54761904762,55400.0,48123.95382395382,0.0961973815019884
사과 양광_15,특,10,51163.3130583946,57263.8126935293,47449.28584610771,0.09501215642009687
사과 양광_15,특,11,38053.675653594764,38452.41830065359,37764.183006535946,0.0706670770016868
사과 양광_15,하,09,17820.21471861472,23391.197691197693,10370.56277056277,0.08096339308567525
사과 양광_15,하,10,21369.367959576037,27592.64030840954,9993.481959635807,0.09708842263815795
사과 양광_15,하,11,18648.222418300655,23473.692810457516,11211.307189542484,0.08472531817615189
사과 양광_5,상,09,27582.86666666666,32346.666666666664,22973.333333333332,0.25015447867226936
사과 양광_5,상,10,27537.44444444445,32305.55555555555,23250.0,0.2497425355462177
사과 양광_5,중,09,19155.666666666668,22853.333333333332,15586.666666666668,0.2528956679399391
사과 양광_5,중,10,18570.777777777777,23000.0,14972.22222222222,0.24517388676676818
사과 양광_5,특,09,34692.33333333333,36933.33333333333,32346.666666666664,0.23950578645906445
사과 양광_5,특,10,38745.88888888888,41833.333333333336,35777.777777777774,0.26749035590155923
사과 양광_5,하,09,12781.8,15440.0,8986.666666666668,0.25385394530396616
사과 양광_5,하,10,12264.333333333334,14750.0,9916.666666666666,0.24357675782672308
사과 조나골드_15,상,10,24020.815789473683,26393.859649122805,21646.929824561405,0.25
사과 조나골드_15,중,10,19024.149122807015,21592.105263157893,16377.192982456141,0.25
사과 조나골드_15,특,10,27411.263157894737,28426.315789473683,26449.122807017542,0.3333333333333333
사과 조나골드_15,하,10,12756.666666666666,15380.701754385964,9575.438596491227,0.3333333333333333
사과 홍로_10,상,01,42719.0,53000.0,36000.0,0.21988608316388067
사과 홍로_10,상,02,45913.0,55000.0,40000.0,0.2363264527798697
사과 홍로_10,상,03,47661.0,56000.0,43000.0,0.24532387484898327
사과 홍로_10,상,04,47842.0,57000.0,43000.0,0.24625553010900017
